,CombinationType,CreateDate,DeliveryMonth,DeliveryYear,EndDelivDate,ExchangeID,ExchangeInstID,ExpireDate,InstLifePhase,InstrumentID,InstrumentName,IsTrading,LongMarginRatio,MaxLimitOrderVolume,MaxMarginSideAlgorithm,MaxMarketOrderVolume,MinLimitOrderVolume,MinMarketOrderVolume,OpenDate,OptionsType,PositionDateType,PositionType,PriceTick,ProductClass,ProductID,ShortMarginRatio,StartDelivDate,StrikePrice,UnderlyingInstrID,UnderlyingMultiple,VolumeMultiple
0,b'0',b'20151008',10.0,2016.0,b'20161019',b'SHFE',b'ag1610',b'20161017',b'1',b'ag1610',b'\xb0\xd7\xd2\xf81610',1.0,0.08,500.0,b'1',500.0,1.0,1.0,b'20151016',b'\x00',b'1',b'2',1.0,b'1',b'ag',0.08,b'20161018',1.7976931348623157e+308,b'',1.7976931348623157e+308,15.0
1,b'0',b'20151106',11.0,2016.0,b'20161117',b'SHFE',b'ag1611',b'20161115',b'1',b'ag1611',b'\xb0\xd7\xd2\xf81611',1.0,0.08,500.0,b'1',500.0,1.0,1.0,b'20151117',b'\x00',b'1',b'2',1.0,b'1',b'ag',0.08,b'20161116',1.7976931348623157e+308,b'',1.7976931348623157e+308,15.0
2,b'0',b'20151207',12.0,2016.0,b'20161219',b'SHFE',b'ag1612',b'20161215',b'1',b'ag1612',b'\xb0\xd7\xd2\xf81612',1.0,0.08,500.0,b'1',500.0,1.0,1.0,b'20151216',b'\x00',b'1',b'2',1.0,b'1',b'ag',0.08,b'20161216',1.7976931348623157e+308,b'',1.7976931348623157e+308,15.0
3,b'0',b'20160105',1.0,2017.0,b'20170118',b'SHFE',b'ag1701',b'20170116',b'1',b'ag1701',b'\xb0\xd7\xd2\xf81701',1.0,0.08,500.0,b'1',500.0,1.0,1.0,b'20160118',b'\x00',b'1',b'2',1.0,b'1',b'ag',0.08,b'20170117',1.7976931348623157e+308,b'',1.7976931348623157e+308,15.0
4,b'0',b'20160202',2.0,2017.0,b'20170217',b'SHFE',b'ag1702',b'20170215',b'1',b'ag1702',b'\xb0\xd7\xd2\xf81702',1.0,0.08,500.0,b'1',500.0,1.0,1.0,b'20160216',b'\x00',b'1',b'2',1.0,b'1',b'ag',0.08,b'20170216',1.7976931348623157e+308,b'',1.7976931348623157e+308,15.0
5,b'0',b'20160303',3.0,2017.0,b'20170317',b'SHFE',b'ag1703',b'20170315',b'1',b'ag1703',b'\xb0\xd7\xd2\xf81703',1.0,0.08,500.0,b'1',500.0,1.0,1.0,b'20160316',b'\x00',b'1',b'2',1.0,b'1',b'ag',0.08,b'20170316',1.7976931348623157e+308,b'',1.7976931348623157e+308,15.0
6,b'0',b'20160407',4.0,2017.0,b'20170419',b'SHFE',b'ag1704',b'20170417',b'1',b'ag1704',b'\xb0\xd7\xd2\xf81704',1.0,0.08,500.0,b'1',500.0,1.0,1.0,b'20160418',b'\x00',b'1',b'2',1.0,b'1',b'ag',0.08,b'20170418',1.7976931348623157e+308,b'',1.7976931348623157e+308,15.0
7,b'0',b'20160506',5.0,2017.0,b'20170517',b'SHFE',b'ag1705',b'20170515',b'1',b'ag1705',b'\xb0\xd7\xd2\xf81705',1.0,0.08,500.0,b'1',500.0,1.0,1.0,b'20160517',b'\x00',b'1',b'2',1.0,b'1',b'ag',0.08,b'20170516',1.7976931348623157e+308,b'',1.7976931348623157e+308,15.0
8,b'0',b'20160603',6.0,2017.0,b'20170619',b'SHFE',b'ag1706',b'20170615',b'1',b'ag1706',b'\xb0\xd7\xd2\xf81706',1.0,0.08,500.0,b'1',500.0,1.0,1.0,b'20160616',b'\x00',b'1',b'2',1.0,b'1',b'ag',0.08,b'20170616',1.7976931348623157e+308,b'',1.7976931348623157e+308,15.0
9,b'0',b'20160705',7.0,2017.0,b'20170719',b'SHFE',b'ag1707',b'20170717',b'1',b'ag1707',b'\xb0\xd7\xd2\xf81707',1.0,0.08,500.0,b'1',500.0,1.0,1.0,b'20160718',b'\x00',b'1',b'2',1.0,b'1',b'ag',0.08,b'20170718',1.7976931348623157e+308,b'',1.7976931348623157e+308,15.0
10,b'0',b'20160714',8.0,2017.0,b'20170822',b'SHFE',b'ag1708',b'20170815',b'1',b'ag1708',b'\xb0\xd7\xd2\xf81708',1.0,0.08,500.0,b'1',30.0,1.0,1.0,b'20160816',b'\x00',b'1',b'2',1.0,b'1',b'ag',0.08,b'20170816',0.0,b'',0.0,15.0
11,b'0',b'20160816',9.0,2017.0,b'20170922',b'SHFE',b'ag1709',b'20170915',b'1',b'ag1709',b'\xb0\xd7\xd2\xf81709',1.0,0.08,500.0,b'1',30.0,1.0,1.0,b'20160920',b'\x00',b'1',b'2',1.0,b'1',b'ag',0.08,b'20170918',0.0,b'',0.0,15.0
12,b'0',b'20151008',10.0,2016.0,b'20161019',b'SHFE',b'al1610',b'20161017',b'1',b'al1610',b'\xc2\xc11610',1.0,0.05,500.0,b'1',500.0,1.0,1.0,b'20151016',b'\x00',b'1',b'2',5.0,b'1',b'al',0.05,b'20161018',1.7976931348623157e+308,b'',1.7976931348623157e+308,5.0
13,b'0',b'20151106',11.0,2016.0,b'20161117',b'SHFE',b'al1611',b'20161115',b'1',b'al1611',b'\xc2\xc11611',1.0,0.05,500.0,b'1',500.0,1.0,1.0,b'20151117',b'\x00',b'1',b'2',5.0,b'1',b'al',0.05,b'20161116',1.7976931348623157e+308,b'',1.7976931348623157e+308,5.0
14,b'0',b'20151207',12.0,2016.0,b'20161219',b'SHFE',b'al1612',b'20161215',b'1',b'al1612',b'\xc2\xc11612',1.0,0.05,500.0,b'1',500.0,1.0,1.0,b'20151216',b'\x00',b'1',b'2',5.0,b'1',b'al',0.05,b'20161216',1.7976931348623157e+308,b'',1.7976931348623157e+308,5.0
15,b'0',b'20160105',1.0,2017.0,b'20170118',b'SHFE',b'al1701',b'20170116',b'1',b'al1701',b'\xc2\xc11701',1.0,0.05,500.0,b'1',500.0,1.0,1.0,b'20160118',b'\x00',b'1',b'2',5.0,b'1',b'al',0.05,b'20170117',1.7976931348623157e+308,b'',1.7976931348623157e+308,5.0
16,b'0',b'20160202',2.0,2017.0,b'20170217',b'SHFE',b'al1702',b'20170215',b'1',b'al1702',b'\xc2\xc11702',1.0,0.05,500.0,b'1',500.0,1.0,1.0,b'20160216',b'\x00',b'1',b'2',5.0,b'1',b'al',0.05,b'20170216',1.7976931348623157e+308,b'',1.7976931348623157e+308,5.0
17,b'0',b'20160303',3.0,2017.0,b'20170317',b'SHFE',b'al1703',b'20170315',b'1',b'al1703',b'\xc2\xc11703',1.0,0.05,500.0,b'1',500.0,1.0,1.0,b'20160316',b'\x00',b'1',b'2',5.0,b'1',b'al',0.05,b'20170316',1.7976931348623157e+308,b'',1.7976931348623157e+308,5.0
18,b'0',b'20160407',4.0,2017.0,b'20170419',b'SHFE',b'al1704',b'20170417',b'1',b'al1704',b'\xc2\xc11704',1.0,0.05,500.0,b'1',500.0,1.0,1.0,b'20160418',b'\x00',b'1',b'2',5.0,b'1',b'al',0.05,b'20170418',1.7976931348623157e+308,b'',1.7976931348623157e+308,5.0
19,b'0',b'20160506',5.0,2017.0,b'20170517',b'SHFE',b'al1705',b'20170515',b'1',b'al1705',b'\xc2\xc11705',1.0,0.05,500.0,b'1',500.0,1.0,1.0,b'20160517',b'\x00',b'1',b'2',5.0,b'1',b'al',0.05,b'20170516',1.7976931348623157e+308,b'',1.7976931348623157e+308,5.0
20,b'0',b'20160603',6.0,2017.0,b'20170619',b'SHFE',b'al1706',b'20170615',b'1',b'al1706',b'\xc2\xc11706',1.0,0.05,500.0,b'1',500.0,1.0,1.0,b'20160616',b'\x00',b'1',b'2',5.0,b'1',b'al',0.05,b'20170616',1.7976931348623157e+308,b'',1.7976931348623157e+308,5.0
21,b'0',b'20160705',7.0,2017.0,b'20170719',b'SHFE',b'al1707',b'20170717',b'1',b'al1707',b'\xc2\xc11707',1.0,0.05,500.0,b'1',500.0,1.0,1.0,b'20160718',b'\x00',b'1',b'2',5.0,b'1',b'al',0.05,b'20170718',1.7976931348623157e+308,b'',1.7976931348623157e+308,5.0
22,b'0',b'20160714',8.0,2017.0,b'20170822',b'SHFE',b'al1708',b'20170815',b'1',b'al1708',b'\xc2\xc11708',1.0,0.05,500.0,b'1',30.0,1.0,1.0,b'20160816',b'\x00',b'1',b'2',5.0,b'1',b'al',0.05,b'20170816',0.0,b'',0.0,5.0
23,b'0',b'20160816',9.0,2017.0,b'20170922',b'SHFE',b'al1709',b'20170915',b'1',b'al1709',b'\xc2\xc11709',1.0,0.05,500.0,b'1',30.0,1.0,1.0,b'20160920',b'\x00',b'1',b'2',5.0,b'1',b'al',0.05,b'20170918',0.0,b'',0.0,5.0
24,b'0',b'20150902',10.0,2016.0,b'20161019',b'SHFE',b'au1610',b'20161017',b'1',b'au1610',b'\xbb\xc6\xbd\xf01610',1.0,0.06,500.0,b'1',500.0,1.0,1.0,b'20150916',b'\x00',b'1',b'2',0.05,b'1',b'au',0.06,b'20161018',1.7976931348623157e+308,b'',1.7976931348623157e+308,1000.0
25,b'0',b'20160714',11.0,2016.0,b'20161122',b'SHFE',b'au1611',b'20161115',b'1',b'au1611',b'\xbb\xc6\xbd\xf01611',1.0,0.06,500.0,b'1',30.0,1.0,1.0,b'20160816',b'\x00',b'1',b'2',0.05,b'1',b'au',0.06,b'20161116',0.0,b'',0.0,1000.0
26,b'0',b'20151106',12.0,2016.0,b'20161219',b'SHFE',b'au1612',b'20161215',b'1',b'au1612',b'\xbb\xc6\xbd\xf01612',1.0,0.06,500.0,b'1',500.0,1.0,1.0,b'20151117',b'\x00',b'1',b'2',0.05,b'1',b'au',0.06,b'20161216',1.7976931348623157e+308,b'',1.7976931348623157e+308,1000.0
27,b'0',b'20160105',2.0,2017.0,b'20170220',b'SHFE',b'au1702',b'20170215',b'1',b'au1702',b'\xbb\xc6\xbd\xf01702',1.0,0.06,500.0,b'1',500.0,1.0,1.0,b'20160118',b'\x00',b'1',b'2',0.05,b'1',b'au',0.06,b'20170216',1.7976931348623157e+308,b'',1.7976931348623157e+308,1000.0
28,b'0',b'20160303',4.0,2017.0,b'20170419',b'SHFE',b'au1704',b'20170417',b'1',b'au1704',b'\xbb\xc6\xbd\xf01704',1.0,0.06,500.0,b'1',500.0,1.0,1.0,b'20160316',b'\x00',b'1',b'2',0.05,b'1',b'au',0.06,b'20170418',1.7976931348623157e+308,b'',1.7976931348623157e+308,1000.0
29,b'0',b'20160506',6.0,2017.0,b'20170619',b'SHFE',b'au1706',b'20170615',b'1',b'au1706',b'\xbb\xc6\xbd\xf01706',1.0,0.06,500.0,b'1',500.0,1.0,1.0,b'20160517',b'\x00',b'1',b'2',0.05,b'1',b'au',0.06,b'20170616',1.7976931348623157e+308,b'',1.7976931348623157e+308,1000.0
30,b'0',b'20160705',8.0,2017.0,b'20170817',b'SHFE',b'au1708',b'20170815',b'1',b'au1708',b'\xbb\xc6\xbd\xf01708',1.0,0.06,500.0,b'1',500.0,1.0,1.0,b'20160718',b'\x00',b'1',b'2',0.05,b'1',b'au',0.06,b'20170816',1.7976931348623157e+308,b'',1.7976931348623157e+308,1000.0
31,b'0',b'20160816',10.0,2017.0,b'20171023',b'SHFE',b'au1710',b'20171016',b'1',b'au1710',b'\xbb\xc6\xbd\xf01710',1.0,0.06,500.0,b'1',30.0,1.0,1.0,b'20160920',b'\x00',b'1',b'2',0.05,b'1',b'au',0.06,b'20171017',0.0,b'',0.0,1000.0
32,b'0',b'20160407',10.0,2016.0,b'20161019',b'SHFE',b'bu1610',b'20161017',b'1',b'bu1610',b'\xc1\xa4\xc7\xe01610',1.0,0.06999999999999999,500.0,b'1',500.0,1.0,1.0,b'20160418',b'\x00',b'1',b'2',2.0,b'1',b'bu',0.06999999999999999,b'20161018',1.7976931348623157e+308,b'',1.7976931348623157e+308,10.0
33,b'0',b'20160506',11.0,2016.0,b'20161117',b'SHFE',b'bu1611',b'20161115',b'1',b'bu1611',b'\xc1\xa4\xc7\xe01611',1.0,0.06999999999999999,500.0,b'1',500.0,1.0,1.0,b'20160517',b'\x00',b'1',b'2',2.0,b'1',b'bu',0.06999999999999999,b'20161116',1.7976931348623157e+308,b'',1.7976931348623157e+308,10.0
34,b'0',b'20141203',12.0,2016.0,b'20161216',b'SHFE',b'bu1612',b'20161215',b'1',b'bu1612',b'\xc1\xa4\xc7\xe01612',1.0,0.06999999999999999,500.0,b'1',500.0,1.0,1.0,b'20141216',b'\x00',b'1',b'2',2.0,b'1',b'bu',0.06999999999999999,b'20161215',1.7976931348623157e+308,b'',1.0,10.0
35,b'0',b'20160705',1.0,2017.0,b'20170118',b'SHFE',b'bu1701',b'20170116',b'1',b'bu1701',b'\xc1\xa4\xc7\xe01701',1.0,0.06999999999999999,500.0,b'1',500.0,1.0,1.0,b'20160718',b'\x00',b'1',b'2',2.0,b'1',b'bu',0.06999999999999999,b'20170117',1.7976931348623157e+308,b'',1.7976931348623157e+308,10.0
36,b'0',b'20160714',2.0,2017.0,b'20170222',b'SHFE',b'bu1702',b'20170215',b'1',b'bu1702',b'\xc1\xa4\xc7\xe01702',1.0,0.06999999999999999,500.0,b'1',30.0,1.0,1.0,b'20160816',b'\x00',b'1',b'2',2.0,b'1',b'bu',0.06999999999999999,b'20170216',0.0,b'',0.0,10.0
37,b'0',b'20150305',3.0,2017.0,b'20170316',b'SHFE',b'bu1703',b'20170315',b'1',b'bu1703',b'\xc1\xa4\xc7\xe01703',1.0,0.06999999999999999,500.0,b'1',500.0,1.0,1.0,b'20150317',b'\x00',b'1',b'2',2.0,b'1',b'bu',0.06999999999999999,b'20170315',1.7976931348623157e+308,b'',1.7976931348623157e+308,10.0
38,b'0',b'20150605',6.0,2017.0,b'20170619',b'SHFE',b'bu1706',b'20170615',b'1',b'bu1706',b'\xc1\xa4\xc7\xe01706',1.0,0.06999999999999999,500.0,b'1',500.0,1.0,1.0,b'20150616',b'\x00',b'1',b'2',2.0,b'1',b'bu',0.06999999999999999,b'20170616',0.0,b'',0.0,10.0
